ko,en,ja,it,es
적응과 진화,Adjusting and Revolution,適応と進化,Regolazione e rivoluzione,Ajuste y revolución
종교적 정치와 정치적 종교,Religious Politics and Political Religion,宗教的政治と政治的宗教,Politica religiosa e religione politica,Política religiosa y religión política
술은 행복한 자에게만 달콤하다.,Wine is only sweet to happy men.,酒は幸せ者にしか甘くない。,Il vino è dolce solo per coloro che sono felici.,El vino solo le sabe dulce a los felices.
빚을 지는 것은 노예가 되는 것이다.,A man in debt is so far a slave.,借りを作ることは奴隷になること。,Un uomo indebitato è come uno schiavo.,Un hombre que debe un favor es un esclavo.
강 철 문,STEEL DOOR,鋼鉄の扉,PORTA D’ACCIAIO,PORTÓN DE ACERO
[농장],[Farm],[農場],[Fattoria],[Granja]
모든 위기에서 기회를 본다.,A crisis can be an opportunity.,あらゆる危機からチャンスを覗く。,Una crisi può tramutarsi in un'opportunità.,Una crisis puede convertirse en una oportunidad.
비록 농기구가 있어도 때를 기다림만 같지 못하다.,Everything on earth has its own time and its own season.,地球上にあるすべては自らの時間と四季を持つ。,Ogni cosa sulla terra ha il suo momento e la sua stagione.,Todo tiene su tiempo y su lugar.
주어진 일을 바르게,Do the job right.,与えられた仕事をきちんと,Svolgi il lavoro per bene.,Haz bien el trabajo.
인내는 일을 받쳐주는 자본이다.,All human power is a compound of time and patience.,忍耐は仕事を支える一種の資本である。,Tutto il potere dell’uomo si basa sul tempo e sulla pazienza.,El poder es una mezcla de tiempo y paciencia.
손은 갈수록 좋고 비는 올수록 좋다.,Do not wear out your welcome.,客は帰っていくほどよく. 雨は降るほどよい。,Non abusare dell’accoglienza ricevuta.,No te acomodes.
"서두르지 않고, 그러나 쉬지도 않고.","Don't hurry, don't rest.",急がず、休まず。,"Nessuna fretta, ma nessun riposo.","Sin prisa, pero sin pausa."
올바른 일,The right thing to do,正しいこと,La cosa giusta da fare,Lo correcto
"의식적, 그리고 무의식적 선택",Conscious and Unconscious Decisions,意識的、そして無意識的な選択,Decisioni consapevoli e inconsapevoli,Decisiones conscientes e inconscientes
첫 마음 그대로,Don't forget where you started,初心忘るべからず,Non dimenticare da dove sei partito,No te olvides de tus comienzos
버티는 게 이기는 것이다.,Perseverance is key to winning.,耐える者が勝利する。,La perseveranza è la chiave del successo.,La perseverancia es la clave
강하고 담대하라,Stay strong and be bold,強く、雄々しくあれ,Sii forte e sii audace,Fuerza y valentía
별을 노래하는 마음,A heart singing of stars,星を歌う心,Un cuore che canta le stelle,El canto de las estrellas
마음의 휴식,Relaxation of the mind,心の暇,Rilassamento della mente,Mente relajada
판을 뒤집는 시대,Era of Turning Tables,大変化の時代,Tempo di cambiare le carte in tavola,Época de cambios
공존을 대체할 유일한 것은 공멸이다.,The only alternative to coexistence is codestruction.,共存の唯一の代替は共に滅びることだ。,La sola alternativa alla coesistenza è la codistruzione.,La única alternativa a la coexistencia es la codestrucción.
조금씩 나아가다,One step at a time,一歩ずつ前進する,Un passo alla volta,Poco a poco
불러드리는 방법,Way to bring them in,呼び入れる方法,Modo per portarli dentro,Llamar su atención
마음속 사랑을 바람에 실어 당신에게,I send my love to you on the wind,心の中の愛を風に乗せてあなたへ,Ti mando il mio amore attraverso il vento,¡Te envío mi amor con el viento!
[별이 빛나는 밤],[Starry Night],[星の輝く夜],[Notte stellata],[Noche estrellada]
사랑은 사람을 치료한다.,Love heals!,愛は人を治療する,L'amore cura!,¡El amor lo cura todo!
시간이 흐르고...,Time passes...,時は流れ…,Il tempo scorre...,Con el tiempo...
노력해도 따라잡을 수 없다.,You can't catch up no matter how hard you try.,努力しても追いつかない。,"Non importa quanto ci provi, non riuscirai a tenere il passo.",No puedes conseguirlo ni aunque lo intentes.
운명에는 우연이 없다.,Destiny is not a coincidence.,運命に偶然はない。,Il destino non è una coincidenza.,El destino no es una serie de coincidencias.
살면서 죽음을 기억하라.,Remember you must die.,生きながらにしての死,Ricordati che devi morire.,Recuerda que tienes que morir.
잊혀지지 않는 자는 죽은 것이 아니다.,He who is not forgotten is not dead.,死者は人々の記憶の中に生きる。,Chi non è dimenticato non è morto.,"A quien no se olvida, no muere."
돛 단 배,Sailboat,帆船,Barca a vela,Bote
삶이 있는 한 희망은 있다.,"While there's life, there's hope.",残りの人生がある限り希望はある。,Finché c'è vita c'è speranza.,"Si hay vida, hay esperanza."
신념을 가진 자가 승리한다.,One who has faith succeeds.,信念を持つ者こそが勝利する。,Colui che ha fede ha successo.,Aquel con fe prevalecerá.
사람은 변하기 마련이다. 기억은 그렇지 않다.,"People are bound to change, but memories aren't.",人は変わっても記憶は変わらない。,"Le persone sono destinate a cambiare, ma i ricordi no.","La gente cambia, los recuerdos no."
고통을 주지 않는 것은 쾌락도 주지 않는다.,"Without pain, there is no joy.",苦しみなくして幸せなし,Senza dolore non c'è gioia.,Sin dolor no se aprecia la felicidad.
쉼표와 마침표.,Comma and period.,カンマとピリオド,Virgola e punto.,Y punto.
버텨라 그리고 꼭 이겨라...,Persevere and win at all costs...,耐えろ。そして必ず勝て…,Persevera e vinci a tutti i costi...,Paciencia y gana cueste lo que cueste...
구름 뒤에서도,Behind the clouds,雲の裏でも,Dietro le nubi,Tras las nubes
마지막 열쇠,Last Key,最後の鍵,Ultima chiave,Última llave
평범하기보다는 유별나게,Be peculiar rather than average,平凡であるよりは変わり者で,Sii particolare piuttosto che ordinario,Mejor destacar que seguir al rebaño.
유별나기보다는 각별하게,Be exceptional rather than peculiar,変わり者であるよりは格別で,Sii eccezionale piuttosto che particolare,Mejor destacar que seguir al rebaño.
각별하기보다는 특별하게,Be special rather than exceptional,格別であるよりは特別で,Sii speciale piuttosto che eccezionale,Mejor destacar que seguir al rebaño.
특별하기보다는 비범하게,Be extraordinary rather than special,特別であるよりは非凡に,Sii straordinario piuttosto che speciale,Mejor destacar que seguir al rebaño.
"비범하기보다는 나답게""",Be yourself rather than extraordinary,非凡であるよりは自分らしく,Sii te stesso piuttosto che straordinario,Sé tú y no uno más.
'왜' 대신 '무엇'이라고 물어라,Question 'What' instead of 'Why',「なぜ」ではなく、「何」と聞け,"Domanda ""Cosa"" invece di ""Perché""","Pregunta ""¿qué?"" en vez de ""¿por qué?"""
"인생,지혜,생각의 전환","Change of life, wisdom, thoughts",人生、知恵、考えの切り替え,"Cambio di vita, saggezza, pensieri","Cambio de vida, sabiduría y pensamientos"
그 책이 어디 있는지 나도 모른다.,I don't know where that book is.,その本がどこにあるかは僕にも分からない。,Non so dove sia quel libro.,No sé dónde está el libro.
행복은 장소가 아니라 방향이다.,"Happiness is not about where you are, it's about which direction you're headed.",幸せは場所ではなく方向である。,"La felicità non è questione di dove ti trovi, ma in quale direzione stai andando.","La felicidad no se basa en donde estés, sino en a dónde te diriges."
또 다른 시작,Another beginning,新しい始まり,Un altro inizio,Otro comienzo
시작과 끝,Beginning and end,始まりと終わり,L’inizio e la fine,Comienzo y final
인증코드 책,Authentication Code Book,認証コードの本,Libro del codice di autenticazione,Libro de códigos de autenticación
정식농부 자격증,Official Farmer Certificate,正式農民資格証,Certificato di contadino ufficiale,Certificado de maestro granjero
숟가락,Spoon,スプーン,Cucchiaio,Cuchara
노끈,String,紐,Corda,Cuerda
고장난 부품,Broken Part,故障した部品,Pezzo rotto,Pieza rota
편지,Letter,手紙,Lettera,Carta
교인 신분증,Devotee's ID,信徒証明書,Identificativo di devoto,Carné de devoto
농부 신분증,Farmer's ID,農民身分証,Identificativo di contadino,Carné de granjero
빨강 브로치,Red Brooch,赤いブローチ,Spilla rossa,Broche rojo
물뿌리개,Watering Can,じょうろ,Annaffiatoio,Regadera
지도,Map,地図,Mappa,Mapa
출입 카드,Access Card,アクセスカード,Scheda di accesso,Tarjeta de acceso
공장 브로치,Factory Brooch,工場のブローチ,Spilla della fabbrica,Broche de fábrica
엔지니어 브로치,Engineer Brooch,エンジニアのブローチ,Spilla di ingegnere,Broche de ingeniero
쥬스,Juice,ジュース,Succo,Zumo
수면제,Sleeping Pill,睡眠剤,Pillola di sonnifero,Somnífero
잠수함 열쇠,Submarine Key,潜水艦の鍵,Chiave del sottomarino,Llave del submarino
수면제 음료수,Sleeping Pill Drink,睡眠剤ドリンク,Bevanda con sonnifero,Bebida con somnífero
알약,Pill,錠剤,Pillola,Pastilla
약 제조법,Drug Recipe,薬の製造方法,Ricetta del farmaco,Receta de droga
정식 농부만이 가질 수 있는 자격증.,A certificate only official farmers can get.,正式農民だけが持っている資格証,Un certificato che solo i contadini ufficiali possono ottenere.,Un certificado para los maestros granjeros.
숟가락으로 무엇을 할 수 있지?,What can you do with a spoon?,スプーンで何ができるんだ？,Cosa puoi fare con un cucchiaio?,¿Qué se puede hacer con una cuchara?
노인의 부탁,Elder's Request,老人の頼み,Richiesta dell'anziano,Petición del anciano
무언가 고칠 수 있을 것 같아,I think I might be able to fix something.,何かが直せそう,Penso che potrei riuscire ad aggiustare qualcosa.,Creo que puedo arreglar algo.
펍주인이 아들에게 주는 편지,A letter from the pub owner to his son,パブマスターが息子に渡す手紙,Una lettera del proprietario del pub a suo figlio,Una carta del dueño del bar para su hijo.
교인임을 증명하는 증명서,Certificate that proves one is religious,信徒であることを証明する証明書,Certificato che dimostra l’essere religiosi,Prueba de que alguien es religioso.
농장에서 없으면 안되는 신분증,ID you must have in the farm,農場ではなくてはならない身分証,Identificativo che devi avere nella fattoria,Llévalo siempre en la granja.
"빨간색 브로치, 무슨 용도로 사용되는지는 알 수 없다.",Red brooch. Usage unknown.,赤いブローチ。使い道は分からない。,Spilla rossa. Utilizzo sconosciuto.,Uso desconocido.
농작물을 키우기 위한 물뿌리개,Watering Can used for growing crops,農作物を育てるためのじょうろ,Annaffiatoio utilizzato per far crescere i raccolti,Para regar las plantas.
강철문 출입카드,Steel Door Access Card,鋼鉄の扉のアクセスカード,Scheda di accesso per la porta d’acciaio,Tarjeta de acceso
공장 출입 브로치,Factory Access Brooch,工場アクセスブローチ,Spilla per l’accesso alla fabbrica,Broche de acceso: fábrica
엔지니어실 출입 브로치,Engineering Room Access Brooch,エンジニア室アクセスブローチ,Spilla per l’accesso alla sala di ingegneria,Broche de acceso: sala de máquinas
수면제를 탄 음료수,Sleeping Pill Drink,睡眠剤を入れたドリンク,Bevanda con sonnifero,Bebida con somnífero
일반 음료수,Normal Beverage,普通のドリンク,Bevanda normale,Bebida normal
수면제를 어디에 섞으면 유용할듯하다,It might help to drop this sleeping pill into some liquid...,睡眠剤をどこかに混ぜたら使えそう,Potrebbe essere utile mettere questa pillola di sonnifero in un liquido...,¿Y si se lo pones a una bebida?
잠수함 열쇠,Submarine Key,潜水艦の鍵,Chiave del sottomarino,Llave del submarino
흔히 볼 수 없는 약,Rare Medicine,滅多に見ることのできない薬,Medicina rara,Medicina extraña
너무 힘들어!,I'm exhausted!,つらすぎる！,Sono esausto!,¡Qué cansancio!
빨리 정식농부가...,I've got to become an official farmer soon...,早く正式農民に…,Devo diventare in fretta un contadino ufficiale...,Tengo que convertirme en un maestro granjero pronto...
언제 돈을 벌지,When will I get to earn money,いつ稼げるようになるんだ,Quando riuscirò a guadagnare denaro,¿Cuándo conseguiré dinero?
오늘 TV봤어?,Did you watch TV today?,今日テレビ見た？,Hai guardato la TV oggi?,¿Has visto la televisión hoy?
커피한잔 먹고하자,Let's grab some coffee first.,コーヒー一杯飲んでからにしよう。,Prendiamo prima un caffè.,Primero necesito un café.
얌전히 잡혀가면@목숨은 살려주지,"If you do as you're told,@I'll spare your life",大人しくしてくれれば@命だけは助けてやるぞ,"Se fai come ti è stato detto,@ti risparmierò la vita","Si haces lo que se te ordena,@te perdonaré la vida."
너넨 누구냐!@어떻게 선,Who are you?!@How did you come here!,誰だお前らは！@何をしにきた！？,Chi sei?!@Come sei arrivato qui!,¿Quién eres?@¡Cómo has llegado aquí?
살고 싶은 생각이@없는 노인네구만,He couldn't care@less about his life,命が惜しくないのか？＠老人よ,Non poteva fregarsene@di meno della sua vita,Su vida@le importa poco.
무슨 일이야,What's wrong?,どうした？,Cosa c'è che non va?,¿Qué ocurre?
불이야!!,FIRE!!,火事だ！！,UN INCENDIO!!,¡Fuego!
창고에 불이!,The warehouse caught on fire!,倉庫に火が！,Il magazzino ha preso fuoco!,¡El almacén está en llamas!
어서가자,Let's go,急げ,Andiamo,Vamos.
후.......,*Sigh*,ふぅ……,*Sigh*,Ay...
어떻게 된거지?,What's happening?,いったいどうなってるんだ？,Cosa sta succedendo?,¿Qué está pasando?
불이나다니,A fire?,火事だなんて,Un incendio?,¿Un incendio?
안에 누가 있나?,Is someone in there?,中に誰かいるのか？,C'è qualcuno lì dentro?,¿Hay alguien dentro?
큰일이네,This is not good,大変だ,Questo non va bene,No pinta bien.
[ 선착장 ] 에서 여정을 시작 합니다.,Your journey begins on the [Dock].,[船着場]で旅程を開始します。,Il tuo viaggio inizia sul [Molo].,Tu viaje comienza en el [muelle].
[ 해조류 수확장 ] 에서 여정을 시작 합니다.,Your journey begins at the [Seaweed Harvesting Site].,[海藻収穫場]で旅程を開始します。,Il tuo viaggio inizia al [Sito di raccolta delle alghe].,Tu viaje comienza en la [granja de algas].
[ 램프타운 ] 에서 여정을 시작 합니다.,Your journey begins in [Lamp Town].,[ランプタウン]で旅程を開始します。,Il tuo viaggio inizia a [Lamp Town].,Tu viaje comienza en [Ciudad Farol].
[ 농장 ] 에서 여정을 시작 합니다.,Your journey begins on the [Farm].,[農場]で旅程を開始します。,Il tuo viaggio inizia nella [Fattoria].,Tu viaje comienza en la [granja].
[ 공장 ] 에서 여정을 시작 합니다.,Your journey begins in the [Factory].,[工場]で旅程を開始します。,Il tuo viaggio inizia nella [Fabbrica].,Tu viaje comienza en la [fábrica].
선택이 필요 합니다.,You need to make a choice. ,選択が必要です。,Devi fare una scelta. ,Toma una decisión. 
으....으...윽...,*Moan*,うぅ…う…うっ…,*Gemito*,Aaaay...
이.... 배신...자....,You... Traitor...,コノ…ウラギリ…モノ…,Tu... Traditore...,Traidor...
표정이 왜 이렇게 썩어있어!!,Why so serious?!,なんて表情してんだ！,Perché sei così serio?!,¿Y ese semblante serio?
거기 서라!!,Stop right there!!,待て！！,Fermati là!!,¡Quiero ahí!
에잇 시팔!,What the...!,クッソー！,Cosa...!,Pero ¿qué...?
지겨워 죽겠네,I'm so sick of this,たいくつだなぁ,Sono davvero stufo di ciò,No lo aguanto más.
이게 다 뭐야,What is all this?,なんだこれは,Cos'è tutto questo?,¿Qué es todo esto?
어디서 냄새가....,I smell something...,なんだか匂いが…,Sento odore di qualcosa...,¿A qué huele?
밑에 보단 나아,It's better here than downstairs,下よりはマシ,È meglio qui che sotto,Aquí se está mejor que abajo.
그러다 큰일 나,You're asking for trouble,いずれひどい目にあうから,Stai chiedendo guai,Te la estás ganando...
젠장!,Damn it!,チクショウ！,Dannazione!,¡Mierda!
퇴근이나 하자,Let's just get off work,帰ろうぜ。,Stacchiamo dal lavoro,Basta de trabajo por hoy.
미치겠네...,It's driving me crazy...,やべぇよ…,Mi sta facendo impazzire...,No lo aguanto más...
으아아아아아아아!,AHHHHHHH!!!,くああああああああああ！,AHHHHHHH!!!,¡Aaaaaaah!
술 더 가져와!,Bring me more alcohol!,酒をもっと持ってこい！,Portami più alcol!,¡Tráeme más alcohol!
난 천재다!,I'm a genius!,俺は天才だ！,Sono un genio!,¡Esto es talento!
내가 누군지알어?!,Do you even know who I am?!,俺をなめてんのか？！,Sai almeno chi sono?!,¡¿Sabes quién soy!?
나가 마!,Get out!,出ていけ！,Via di qua!,¡Fuera!
으악!,Aaahh!,うわっ！,Aaahh!,¡Aaaah!
왜이래요!,Get your hands off me!,やめてください！,Toglimi le mani di dosso!,¡Quítame las manos de encima!
알겠다구요!,Fine! Okay!,分かりましたよ！,D'accordo! Va bene!,"¡Vale, bien!"
또 난리구만!,Not again!,騒がしい！,Non di nuovo!,¡Otra vez no!
멍청한놈!,What an idiot!,バカなやつ！,Che idiota!,¡Será idiota!
어서가!,Hurry up and go!,さっさといけ！,Sbrigati e vai!,¡Vete rápido!
몰래 하나 먹어야지,They won't notice if I eat this,こっそり一つ食べようと。,Non si accorgeranno se lo mangio,No se darán cuenta
읏챠 읏챠,*Oomph oomph*,よいしょよいしょ,"*Oh issa, oh issa*","Ñam, ñam."
아이고 허리야,"Ouch, my back hurts.",腰が痛むな,"Ahia, mi fa male la schiena.",Me duele la espalda.
오늘도 야근이야 짜증나,I need to work overtime today again.@Gosh.,今日も夜勤がよ。チッ。,Devo fare di nuovo gli straordinari oggi.@Diamine.,Tengo que echar más horas hoy también.@Joder.
야근은 우리 생활이야,Working overtime is just a part of our life.,夜勤手当込みの給料だぜ。,Fare gli straordinari è solo una parte della nostra vita.,No hacemos otra cosa que echar más horas.
안보여! 비켜!,I can't see! MOVE!,見えないぞ！どけ！,Non riesco a vedere! SPOSTATI!,"¡No veo, muévete!"
또 또 또 버그야?!,A bug? AGAIN?!,またまたまたバグ？！,Un insetto? ANCORA?!,¡¿Otro error?!
오늘 파티장 물 좋네~,This party is the bomb!,盛り上がってるね～。パーティー会場,Questa festa è una bomba!,¡Esta fiesta es la bomba!
치얼스!,Cheers!,乾杯！,Saluti!,¡Salud!
내몸 좋지? 너도 열심히 운동해라,See these abs?@You should work out as well.,いい体してんだろ？君も筋トレしろよ～。,Vedi questi addominali?@Dovresti allenarti anche tu.,¿Ves estos abdominales?@Haz ejercicio y tú también los tendrás.
히히히 아무것도 안 실으니 너무 가벼워,Hehehe. It's so light without anything in it.,ひっひっひっ 何も入れてないから軽すぎる,Eheh. È così leggero senza nulla al suo interno.,"Je, je. Qué poco pesa sin nada dentro."
벌레들아 다 죽어라,DIE you little bugs.,虫、死ね！,MORITE piccoli insetti.,"¡Morid, bichos insignificantes!"
한 포대 더 올려봐 이 정도는 껌이지,Lift one more. It's a piece of cake.,もう一袋乗せていいぞ～。これぐらいチョロいぞ。,Sollevane un altro. È un pezzo di torta.,"Venga, uno más. Que es muy fácil."
동전좀 있어?@음료수 하나만 뽑아줘,Got some coins on you?@Please get me a drink.,小銭ある？@ドリンク買って～。,"Hai delle monete con te?@Per favore, portami da bere.","¿Llevas dinero?@Pídeme algo, anda."
흠....... 미안하지만 그쪽은 제 스타일이 아니에요,"Hm... I'm sorry, but you're not my style.",う～ん…すみません。全然タイプじゃない。,"Mmh... mi dispiace, non sei il mio tipo.","Perdona, pero no eres mi estilo."
머리에 그 이상한 것 좀 벗고 다니세요,Please take that thing off your head.,頭のその変なやつとったらどうですか？,"Per favore, levati quella cosa dalla testa.",Quítate eso de la cabeza.
안사요 안사,Not buying it. No thanks.,買いませんって,Non comprarlo. No grazie.,"No, gracias, pero no."
THE SUN <b>[ 바닷속으로 ]</b>,THE SUN <b>[ Into the sea ]</b>,THE SUN <b>[海の中へ]</b>,IL SOLE <b>[ Nel mare ]</b>,EL SOL <b>[ Al mar ]</b>
WHEEL OF FORTUNE <b>[ 운명 ]</b>,WHEEL OF FORTUNE <b>[ A destiny ]</b>,WHEEL OF FORTUNE <b>[運命]</b>,RUOTA DELLA FORTUNA <b>[ Un destino ]</b>,LA RUEDA DE LA FORTUNA <b>[ Destino ]</b>
THE FOOL <b>[ 광대 ]</b>,THE FOOL <b>[ A clown ]</b>,THE FOOL <b>[ピエロ]</b>,IL MATTO <b>[ Un clown ]</b>,EL LOCO <b>[ Un payaso ]</b>
SIX OF SWORDS <b>[ 여행 ]</b>,SIX OF SWORDS <b>[ A journey ]</b>,SIX OF SWORDS <b>[旅]</b>,SEI DI SPADE <b>[ Un viaggio ]</b>,SEIS DE ESPADAS <b>[ Viaje ]</b>
THE DEVIL <b>[ 지옥 ]</b>,THE DEVIL <b>[ Hell ]</b>,THE DEVIL <b>[地獄]</b>,IL DIAVOLO <b>[ L’inferno ]</b>,EL DIABLO <b>[ Infierno ]</b>
THE TOWER <b>[ 희망 ]</b>,THE TOWER <b>[ Hope ]</b>,THE TOWER <b>[希望]</b>,LA TORRE <b>[ La speranza ]</b>,LA TORRE <b>[ Esperanza ]</b>
ACE OF WAND <b>[ 새로운 시작 ]</b>,ACE OF WAND <b>[ A new beginning ]</b>,ACE OF WAND <b>[新しい始まり]</b>,ASSO DI BASTONI <b>[ Un nuovo inizio ]</b>,AS DE BASTOS <b>[ Un nuevo comienzo ]</b>
죽음은 어디서 너를 기다릴지는 불확실하다.@그러나 어디에서나 그것을 예상하라.,"Death can happen at any time, so be careful at all times.",死がどこで君を待っているかは不確かだ。＠しかし、どこからでも死は君に会いに来ることができる。,"La morte può avvenire in qualsiasi momento, quindi fai sempre attenzione.","Puedes morir en cualquier momento, ten mucho cuidado."
삶이 있는 한 희망이 있다.,"As long as there is life, there is hope. ",残りの人生がある限り希望はある。,"Finché c'è vita, c'è speranza. ","Mientras haya vida, habrá esperanza. "
"있다고 다 보여주 말고, 안다고 다 말하지 말고,@가졌다고 다 빌려주지 말고, 들었다고 다 믿지마라.","Don't show everything you have, don't tell everything you know,@don't lend everything you have, and don't believe everything you hear.",持っているものを全て見せない、知っていることを全て言わない、@持っているからって全て貸さない、聞いたことを全て信じない。,"Non mostrare tutto quello che hai, non dire tutto quello che sai,@non prestare tutto quello che hai e non credere a tutto quello che senti.",No muestres todo lo que tienes; no digas todo lo que sabes;@no prestes todo lo que tienes y no creas todo lo que oyes.
집을 향한 여행.,Journey home,故郷への旅,Viaggio di ritorno a casa,Camino a casa
"너의 선택을 후회하지 마라,@혹은, 후회하지 않도록 만들어라.","Don't regret your choice.@Or, make sure you don't regret it.",君の選択に後悔をするな。＠それとも、後悔しない選択をしろ。,Non rimpiangere la tua scelta.@Oppure fai in modo di non pentirtene.,No te arrepientas de tu decisión.@Asegúrate de no arrepentirte.
믿는 것은 믿지 않는 것보다@훨씬 더 간단한 일이다.,Believing is much simpler than not believing,信じることは、信じないことより@もっと簡単なことだ。,Credere è molto più semplice che non credere,Creer es mucho más sencillo que no creer.
어떻게 시작했는가보다@어떻게 끝낼 것인가.,How it ends rather than how it starts.,如何に始めたかより＠如何に終わらせるかだ。,Come finisce piuttosto che come inizia.,Importa más cómo acaba que cómo empieza.
으으윽...,Ughhh….,うぅっ…,Uhhh….,Ug...
아니 무슨일이야!,What's going on?!,どうした！？,Cosa sta succedendo?!,¿Qué está pasando?
어! 큰일이군,Oh no... I'm busted.,それは大変だ！,Oh no... Sono stato beccato.,Me han pillado...
어서 병원으로 갑시다,Let's go to the hospital,早速病院にいきましょう。,Andiamo in ospedale,Vamos al hospital.
새로운 게임 출시됐네@이 친구들 게임 참 잘 만드네,A new game has been released.@They're really good at making games.,新しいゲームが出たのさ。@この子たち、ゲーム作りが上手なんだよ。,È stato pubblicato un nuovo gioco.@Sono davvero bravi a creare giochi.,Han sacado un nuevo juego.@Son muy buenos en lo que hacen.
